caption,image_file
"logo in the style of TOK, black logo on white background, symmetric turtle", logorax1.png
"logo in the style of TOK, black logo on white background, standing dog", logorax2.png
"logo in the style of TOK, black logo on white background, symmetric head of llama", logorax3.png
"logo in the style of TOK, black logo on white background, head of eagle in a circle", logorax4.png
"logo in the style of TOK, black logo on white background, owl", logorax5.png
"logo in the style of TOK, black logo on white background, square in a star", logorax6.png
"logo in the style of TOK, black logo on white background, star", logorax7.png
"logo in the style of TOK, black logo on white background, swan", logorax8.png
"logo in the style of TOK, black logo on white background, owl on a branch", logorax9.png
"logo in the style of TOK, black logo on white background, eagle with wings", logorax10.png
"logo in the style of TOK, black logo on white background, standing lion with a crown", logorax11.png
"logo in the style of TOK, black logo on white background, symmetric head of a lion", logorax12.png
"logo in the style of TOK, black logo on white background, tree", logorax13.png
"logo in the style of TOK, black logo on white background, frog", logorax14.png
"logo in the style of TOK, black logo on white background, running rabbit", logorax15.png
"logo in the style of TOK, black logo on white background, elephant", logorax16.png
"logo in the style of TOK, black logo on white background, bear eating fish", logorax17.png
"logo in the style of TOK, black logo on white background, standing deer", logorax18.png
"logo in the style of TOK, black logo on white background, standing human", logorax19.png
"logo in the style of TOK, black logo on white background, turtle", logorax20.png
"logo in the style of TOK, black logo on white background, star in a circle", logorax21.png
"logo in the style of TOK, black logo on white background, ticket in a shield", logorax22.png
"logo in the style of TOK, black logo on white background, head of a lion looking left", logorax23.png
"logo in the style of TOK, black logo on white background, symmetric head of a lion", logorax24.png
"logo in the style of TOK, black logo on white background, symmetric head of a lion", logorax25.png
"logo in the style of TOK, black logo on white background, symmetric head of a lion", logorax26.png
"logo in the style of TOK, black logo on white background, star in a shield", logorax27.png
"logo in the style of TOK, black logo on white background, sneaker", logorax28.png
"logo in the style of TOK, black logo on white background, symmetric head of a llama", logorax29.png
"logo in the style of TOK, black logo on white background, sun in a circle", logorax30.png
"logo in the style of TOK, black logo on white background, star in a shield", logorax31.png
"logo in the style of TOK, black logo on white background, star in sun", logorax32.png
"logo in the style of TOK, black logo on white background, symmetric tree", logorax33.png
"logo in the style of TOK, black logo on white background, swan", logorax34.png
"logo in the style of TOK, black logo on white background, frog", logorax35.png
"logo in the style of TOK, black logo on white background, frog", logorax36.png
